,City Name,Latitude,Longitude,Temprature,Humidity,Cloudiness,Max Temp,Wind Speed
343,Bariloche,-41.15,-71.31,77.0,27,0,77.0,6.93
344,Itarema,-2.92,-39.92,77.77,87,88,77.77,3.58
345,Zhigansk,66.77,123.37,-17.79,94,100,-17.79,18.32
346,Tefe,-3.35,-64.71,77.59,86,74,77.59,1.92
347,Vao,-22.67,167.48,77.07,80,22,77.07,19.69
348,Jos,9.92,8.9,58.55,34,0,58.55,3.4
349,Ust'-Kan,50.93,84.76,9.77,82,100,9.77,22.79
350,College,64.86,-147.8,-8.84,75,1,1.4,0.34
351,Urubicha,-15.38,-62.95,81.93,62,54,81.93,2.3
352,Mapastepec,15.43,-92.9,79.2,60,0,79.2,1.7
353,Touros,-5.2,-35.46,75.2,94,75,75.2,2.24
354,Nioro,13.35,-15.75,74.95,9,0,74.95,9.15
355,Cabedelo,-6.98,-34.83,80.6,83,40,80.6,6.93
356,Safi,32.3,-9.24,52.23,54,0,52.23,8.9
357,Mpika,-11.83,31.45,61.45,96,100,61.45,5.68
358,Yerbogachen,61.28,108.01,5.79,92,98,5.79,10.92
359,Buala,-8.14,159.59,85.55,66,72,85.55,9.84
360,Aden,12.78,45.04,70.07,58,0,70.07,5.57
361,Havelock,34.88,-76.9,37.36,41,5,42.8,9.17
362,Kerema,-7.96,145.78,83.91,74,100,83.91,3.49
363,Tazovsky,67.47,78.7,-7.13,98,97,-7.13,9.64
364,Cubuk,40.24,33.03,24.44,85,0,27.0,8.05
365,Donna,26.17,-98.05,75.74,53,40,78.8,12.75
366,Rio Blanco,18.83,-97.15,58.96,97,67,58.96,1.05
367,Santa Rosa,14.31,121.11,80.55,78,40,81.0,3.36
368,Benton,36.33,-94.33,43.74,100,90,46.4,8.05
369,Lompoc,34.64,-120.46,55.36,66,1,57.99,13.87
370,Mikkeli,61.67,27.25,37.81,100,90,39.2,5.82
371,Tabou,4.42,-7.35,77.85,91,15,77.85,3.31
372,Allapalli,19.42,80.07,62.01,86,0,62.01,2.93
373,Palembang,-2.92,104.75,76.32,90,95,76.32,2.77
374,Farafangana,-22.82,47.83,79.03,85,49,79.03,7.58
375,Gorele,41.03,39.0,48.2,61,75,48.2,6.93
376,Dubbo,-32.25,148.62,78.8,50,40,78.8,18.34
377,Bilma,18.69,12.92,57.11,37,0,57.11,8.08
378,Abalak,58.13,68.59,-0.78,89,0,-0.78,5.06
379,Mthatha,-31.59,28.78,71.6,83,100,71.6,9.17
380,Hutang,31.53,119.48,39.63,93,90,42.01,2.24
381,Pangai,-19.8,-174.35,83.57,79,100,83.57,40.6
382,Daru,-9.08,143.21,88.27,63,6,88.27,8.08
383,San Jeronimo,-11.95,-75.28,42.84,76,65,42.84,5.86
384,Kokopo,-4.35,152.26,83.14,78,90,83.14,15.86
385,Coquimbo,-29.95,-71.34,68.04,77,50,75.99,10.29
386,Port Hardy,50.7,-127.42,33.8,80,90,33.8,28.86
387,Lagunas,-5.23,-75.68,79.57,77,59,79.57,3.04
388,Ponta Delgada,37.73,-25.67,62.6,93,75,62.6,6.93
389,Alta Floresta,-9.88,-56.09,76.68,80,49,76.68,1.45
390,Monterey,36.25,-121.25,52.74,54,1,55.4,4.7
391,Buin,-33.73,-70.75,79.52,36,40,80.6,3.36
392,Orel-Izumrud,43.46,39.92,35.6,74,27,35.6,2.75
393,Garoowe,8.41,48.48,68.43,73,1,68.43,16.33
394,Tessalit,20.2,1.01,60.13,26,30,60.13,10.94
395,Los Llanos de Aridane,28.66,-17.92,62.6,59,0,62.6,10.29
396,Fort Nelson,58.81,-122.7,-20.2,75,75,-20.2,2.24
